name,price,rating,review_count,deep_link
"[캔들이케아] 3ml 다용도 주사기, 1개",990,4.5,30,https://www.coupang.com/vp/products/8209553705?itemId=23559634184&vendorItemId=90585639930
"WHOLELIFE 유기농 레몬즙 14p, 280g, 1개",5000,4.5,19299,https://www.coupang.com/vp/products/8087904288?itemId=23798778776&vendorItemId=90822727624
"신신파스 쿨 연고 롤온타입, 1개입, 1개",3000,4.5,6314,https://www.coupang.com/vp/products/7751124635?itemId=14918280419&vendorItemId=82155239451
"리본핏 덴마크 프리미엄 구강유산균, 30정, 1개",9900,4.5,4263,https://www.coupang.com/vp/products/8761147744?itemId=25515605344&vendorItemId=92507534046
"케어센스 일회용 알콜스왑, 100매, 1개",4000,4.5,3555,https://www.coupang.com/vp/products/103707571?itemId=18796545993&vendorItemId=90956619140
"식물성 멜라토닌 1일 2mg 함유 멜라 테아닌 나잇 식약청인증 HACCP 자주가게, 1개, 60정",14300,5.0,32623,https://www.coupang.com/vp/products/8273462835?itemId=23846573543&vendorItemId=93308703427
"솔리앤 문어 괄사 지압 전신 마사지기 1+1 세트, 핑크, 1세트",5900,5.0,1240,https://www.coupang.com/vp/products/9457366282?itemId=28139595722&vendorItemId=95612681358
"드노윌 다용도 초미세 면봉 뾰족 면봉 피지 압출 여드름 메이크업 수정 청소용 면봉, 1세트, 200개입",3000,5.0,52,https://www.coupang.com/vp/products/9524052447?itemId=28394572272&vendorItemId=95350341836
"아임비타 비타민D 4000IU 6g, 1개, 60정",8950,5.0,245,https://www.coupang.com/vp/products/9468032731?itemId=28178498736&vendorItemId=95133173426
"로멀리 휴대용 일주일 미니 알약 케이스, 밀크화이트 1개",3000,4.5,247,https://www.coupang.com/vp/products/9122380466?itemId=26834041889&vendorItemId=95383744836
